status,content_class,sitemap,source_url,resolved_url,canonical_url,wordpress_id,last_modified,title,text_chars,headings,images,embeds,downloads,internal_links,external_links,warnings,error
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/legit/page/2/,https://www.ccf.org.ph/message-category/legit/page/2/,https://www.ccf.org.ph/message-category/legit/page/2/,129,,Legit Archives - Page 2 of 5 - Christ's Commission Fellowship,1357,10,7,0,0,15,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/legit/page/3/,https://www.ccf.org.ph/message-category/legit/page/3/,https://www.ccf.org.ph/message-category/legit/page/3/,129,,Legit Archives - Page 3 of 5 - Christ's Commission Fellowship,407,10,8,0,0,15,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/legit/page/4/,https://www.ccf.org.ph/message-category/legit/page/4/,https://www.ccf.org.ph/message-category/legit/page/4/,129,,Legit Archives - Page 4 of 5 - Christ's Commission Fellowship,315,10,7,0,0,15,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/legit/page/5/,https://www.ccf.org.ph/message-category/legit/page/5/,https://www.ccf.org.ph/message-category/legit/page/5/,129,,Legit Archives - Page 5 of 5 - Christ's Commission Fellowship,187,3,2,0,0,9,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/life-detox/page/2/,https://www.ccf.org.ph/message-category/life-detox/page/2/,https://www.ccf.org.ph/message-category/life-detox/page/2/,352,,Life Detox Archives - Page 2 of 2 - Christ's Commission Fellowship,2069,6,6,0,0,9,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/lifegoals/page/2/,https://www.ccf.org.ph/message-category/lifegoals/page/2/,https://www.ccf.org.ph/message-category/lifegoals/page/2/,124,,#Lifegoals Archives - Page 2 of 2 - Christ's Commission Fellowship,133,2,2,0,0,5,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/living-the-full-life/page/2/,https://www.ccf.org.ph/message-category/living-the-full-life/page/2/,https://www.ccf.org.ph/message-category/living-the-full-life/page/2/,305,,Living The Full Life Archives - Page 2 of 2 - Christ's Commission Fellowship,1390,4,4,0,0,7,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/love-joy/page/2/,https://www.ccf.org.ph/message-category/love-joy/page/2/,https://www.ccf.org.ph/message-category/love-joy/page/2/,516,,Love & Joy Archives - Page 2 of 2 - Christ's Commission Fellowship,673,2,2,0,0,5,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/love-rediscovered/page/2/,https://www.ccf.org.ph/message-category/love-rediscovered/page/2/,https://www.ccf.org.ph/message-category/love-rediscovered/page/2/,431,,Love: Rediscovered Archives - Page 2 of 2 - Christ's Commission Fellowship,2194,6,3,0,0,9,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/make-your-life-count/page/2/,https://www.ccf.org.ph/message-category/make-your-life-count/page/2/,https://www.ccf.org.ph/message-category/make-your-life-count/page/2/,283,,Make Your Life Count Archives - Page 2 of 2 - Christ's Commission Fellowship,1168,2,2,0,0,5,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/miscellaneous/page/2/,https://www.ccf.org.ph/message-category/miscellaneous/page/2/,https://www.ccf.org.ph/message-category/miscellaneous/page/2/,80,,Miscellaneous Archives - Page 2 of 2 - Christ's Commission Fellowship,897,5,5,0,0,8,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/motivate/page/2/,https://www.ccf.org.ph/message-category/motivate/page/2/,https://www.ccf.org.ph/message-category/motivate/page/2/,212,,Motivate Archives - Page 2 of 2 - Christ's Commission Fellowship,1348,10,10,0,0,13,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/no-other-gospel-galatians/page/2/,https://www.ccf.org.ph/message-category/no-other-gospel-galatians/page/2/,https://www.ccf.org.ph/message-category/no-other-gospel-galatians/page/2/,574,,No Other Gospel (Galatians) Archives - Page 2 of 2 - Christ's Commission Fellowship,619,1,1,0,0,4,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/no-regrets/page/2/,https://www.ccf.org.ph/message-category/no-regrets/page/2/,https://www.ccf.org.ph/message-category/no-regrets/page/2/,242,,No Regrets Archives - Page 2 of 2 - Christ's Commission Fellowship,328,2,2,0,0,5,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/radical-love/page/2/,https://www.ccf.org.ph/message-category/radical-love/page/2/,https://www.ccf.org.ph/message-category/radical-love/page/2/,83,,Radical Love Archives - Page 2 of 3 - Christ's Commission Fellowship,2529,10,9,0,0,13,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/radical-love/page/3/,https://www.ccf.org.ph/message-category/radical-love/page/3/,https://www.ccf.org.ph/message-category/radical-love/page/3/,83,,Radical Love Archives - Page 3 of 3 - Christ's Commission Fellowship,2507,10,9,0,0,14,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/real-faith/page/2/,https://www.ccf.org.ph/message-category/real-faith/page/2/,https://www.ccf.org.ph/message-category/real-faith/page/2/,590,,Real Faith Archives - Page 2 of 2 - Christ's Commission Fellowship,4499,8,8,0,0,11,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/real-people-real-impact/page/2/,https://www.ccf.org.ph/message-category/real-people-real-impact/page/2/,https://www.ccf.org.ph/message-category/real-people-real-impact/page/2/,523,,Real People Real Impact Archives - Page 2 of 2 - Christ's Commission Fellowship,701,2,2,0,0,5,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/10/,https://www.ccf.org.ph/message-category/runthrough/page/10/,https://www.ccf.org.ph/message-category/runthrough/page/10/,249,,Runthrough Archives - Page 10 of 44 - Christ's Commission Fellowship,5384,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/11/,https://www.ccf.org.ph/message-category/runthrough/page/11/,https://www.ccf.org.ph/message-category/runthrough/page/11/,249,,Runthrough Archives - Page 11 of 44 - Christ's Commission Fellowship,5320,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/12/,https://www.ccf.org.ph/message-category/runthrough/page/12/,https://www.ccf.org.ph/message-category/runthrough/page/12/,249,,Runthrough Archives - Page 12 of 44 - Christ's Commission Fellowship,5513,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/13/,https://www.ccf.org.ph/message-category/runthrough/page/13/,https://www.ccf.org.ph/message-category/runthrough/page/13/,249,,Runthrough Archives - Page 13 of 44 - Christ's Commission Fellowship,5524,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/14/,https://www.ccf.org.ph/message-category/runthrough/page/14/,https://www.ccf.org.ph/message-category/runthrough/page/14/,249,,Runthrough Archives - Page 14 of 44 - Christ's Commission Fellowship,5554,10,10,0,0,55,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/15/,https://www.ccf.org.ph/message-category/runthrough/page/15/,https://www.ccf.org.ph/message-category/runthrough/page/15/,249,,Runthrough Archives - Page 15 of 44 - Christ's Commission Fellowship,5454,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/16/,https://www.ccf.org.ph/message-category/runthrough/page/16/,https://www.ccf.org.ph/message-category/runthrough/page/16/,249,,Runthrough Archives - Page 16 of 44 - Christ's Commission Fellowship,5483,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/17/,https://www.ccf.org.ph/message-category/runthrough/page/17/,https://www.ccf.org.ph/message-category/runthrough/page/17/,249,,Runthrough Archives - Page 17 of 44 - Christ's Commission Fellowship,5316,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/18/,https://www.ccf.org.ph/message-category/runthrough/page/18/,https://www.ccf.org.ph/message-category/runthrough/page/18/,249,,Runthrough Archives - Page 18 of 44 - Christ's Commission Fellowship,4912,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/19/,https://www.ccf.org.ph/message-category/runthrough/page/19/,https://www.ccf.org.ph/message-category/runthrough/page/19/,249,,Runthrough Archives - Page 19 of 44 - Christ's Commission Fellowship,4836,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/2/,https://www.ccf.org.ph/message-category/runthrough/page/2/,https://www.ccf.org.ph/message-category/runthrough/page/2/,249,,Runthrough Archives - Page 2 of 44 - Christ's Commission Fellowship,5899,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/20/,https://www.ccf.org.ph/message-category/runthrough/page/20/,https://www.ccf.org.ph/message-category/runthrough/page/20/,249,,Runthrough Archives - Page 20 of 44 - Christ's Commission Fellowship,4993,10,10,0,0,54,0,,
200,taxonomy_archive,link-discovery,https://www.ccf.org.ph/message-category/runthrough/page/21/,https://www.ccf.org.ph/message-category/runthrough/page/21/,https://www.ccf.org.ph/message-category/runthrough/page/21/,249,,Runthrough Archives - Page 21 of 44 - Christ's Commission Fellowship,4894,10,10,0,0,54,0,,
